,date,jobsource,jobsearch,MetroID,jobtitlenorm,jobeasyapply,jobisorganic,companyname,jobdaysago,companysize,companyfounded,companytype,companyindustry,companysector,companyrevenue,companyrating,companyratings,companyrecommendfriend,companyapproveceo,jobtitle,cityname,jobdescription,wageavg,wagemin,wagemax
0,2022-01-24,glassdoor,data analyst,1.0,,,,,,51 to 200 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),,2.9,17 Ratings,44 %,71 %,Business Analyst,"New York, NY","US Based, remote position, preferably located in Mid-West, Eastern US.

BioIVT, formerly BioreclamationIVT, is a leading global provider of high-quality biological specimens and value-added services. We specialize in control and disease state samples including human and animal tissues, cell products, blood, and other biofluids. Our unmatched portfolio of clinical specimens directly supports precision medicine research and the effort to improve patient outcomes by coupling comprehensive clinical data with donor samples.
Our Research Services team works collaboratively with clients to provide in vitro hepatic modeling solutions. And as the world’s premier supplier of ADME-Tox model systems, including hepatocytes and subcellular fractions, BioIVT enables scientists to better understand the pharmacokinetics and drug metabolism of newly discovered compounds and their effects on disease processes. By combining our technical expertise, exceptional customer service, and unparalleled access to biological specimens, BioIVT serves the research community as a trusted partner in ELEVATING SCIENCE®.
Job Purpose
The Business Analyst (M&A Acquisitions) will support the growth and success of acquired partner businesses by planning and executing on implementing best in class operational processes. This position provides business analysis services to internal business partners. The BA is an agent of change within the organization and our acquired partners. The focus of this position is to work closely with the business units to gain an in-depth understanding of internal customers' business strategy, processes, services, roadmap, and the context in which the business operates. These tasks will be vital in addressing business challenges and integrating newly acquired organizations into our established systems and processes.
The M&A Acquisitions Business Analyst serves as a leader on the M&A Acquisitions Integrations Team lending their experience with process mapping and design to solving complex business process alignment problems. The BA will lead the team to identify and map the business processes of newly acquired organizations and will plan for the integration/absorption/alignment of those processes with an existing business process where needed. This will include reviewing selected business processes from end to end to identify and address operational, financial, and technological needs. Identify opportunities to improve efficiency. Responsibilities will include a full range of activities, from leading projects to assisting business managers with understanding how to best integrate new organizations into our own.
Duties and Responsibilities
Lead cross-functional teams through integrated planning and execution, value creation planning, and change management
Establish partnerships with business unit and functional Integration Leads, IT product managers, and key business stakeholders help align the business operating model, integration strategy and execution, and status of projects and key decisions
Define, implement, and communicate Key Performance Indicators to showcase the value creation impact of integrations
Implement effective operational processes with a lens towards scale and repeatability
Provide analytical support for critical corporate initiatives, including business function support for system migrations and consolidations and significant business process improvement projects
Lead or participate in multiple projects by completing and updating project documentation; managing project scope; adjusting schedules when necessary; determining daily priorities and resource requirements; ensuring efficient and on-time delivery of project tasks and milestones; following proper escalation paths; and managing customer and supplier relationships.
Demonstrate a high level of subject matter expertise in functional areas to bridge business requirements and IT solutions; provide technical direction and ensure adoption of best-practice solutions.
Document current and future state processes.
Manage internal customer relationships and expectations by developing a communication process to keep others up-to-date on project results
Create and maintain issue logs, meeting minutes, meeting schedules, project summaries, and updates as required to promote proactive and effective communication
Qualifications
Bachelor's degree in the field of computer science, information systems, business, or a related field
The ideal candidate is action-oriented, impact-focused, and has an operational background with exposure to other business functional teams (finance, HR, Marketing/Commercial, etc)
Prior experience or a curiosity to learn about M&A and the integration of recently acquired teams into new and existing organizational systems and processes - while minimizing disruption and optimizing value creation
Experience in a business analytics role: including requirements gathering, process definition, business process documentation.
Experience working with ERP or other major systems implementation projects is a plus
Demonstrated ability to work successfully on large projects
Problem solving skills evidenced by demonstrated results in past positions
Ability to work under tight deadlines and handle multiple/detail-oriented tasks
Data Analysis: Skilled in data reporting, data analysis, and business impact analysis
Excellent verbal (written and oral) and interpersonal communication skills.
Strong time management, ability to successfully manage multiple tasks at any given point, strong relationship building skills & communication skills.
Able to work collaboratively across the organization and at all levels
Self-motivated, self-directed, and attentive to detail.
Experience working in a team-oriented, collaborative environment.
Excellent follow-through
Ability to travel to company locations as projects require

The Company is an AA/EEO/Veterans/Disabled Employer.","$88,962 /yr (est.)",$62K ,$129K
1,2022-01-24,glassdoor,data analyst,1.0,Acquisitions Editor,true,false,FE International,12d,1 to 50 Employees,2010,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),4.1,0 Ratings,81 %,N/A,M&A Analyst - Assessment Days January and February 2022,"New York, NY","About Us:
FE International is an award-winning global M&A advisor of SaaS, e-commerce and content businesses. It has completed acquisitions for thousands of founders, owners and acquirers, and is the preeminent valuation thought leader in the industry. Its team includes experts in exit planning, valuation, accounting, legal and more.
Founded in 2010, FE is known for its extensive network of pre-qualified international investors. With headquarters in New York and regional offices in Miami, San Francisco and London, FE is an international company serving clients worldwide. It was named one of The Americas' Fastest Growing Companies in 2021 and 2020 by The Financial Times and is also a three-time Inc. 5000 company.
The Opportunity:
FE International is hosting analyst assessment days over the course of January and February 2022 . We are looking to hire analysts in 3 key business areas: Lead Origination, Valuations, Financial Due Diligence and Advisory.
As an analyst at FE International, you will develop a strong foundation of business acumen, technical skills, and knowledge about the internet industry.
The interview process for all analyst roles entails:
1. Online Assessment including Verbal, Numeracy, and Personality exams.
2. Telephone Interview (if the required minimum assessment score is met, you will be forwarded to the recruitment team to find out more about yourself and answer some competency-based questions).
3. Assessment Day / In-person Interviews (if you successfully pass all stages of the assessment day, you will be asked to interview with several senior team members).
General Responsibilities:
Work closely with potential clients to collate and organize business financial data;
Provide evaluation and analysis of businesses to influence outcomes and decisions;
Research, gather, and analyze data to determine the appropriate qualification of leads;
Identify industry-specific trends and issues, including financial information, incoming profiles of prospects, and competitor performance;
Communicate and prepare materials to support recommendations to team and stakeholders; and
Assist senior staff in various departments with ad hoc requests as needed.
Required Skills:
Ability to analyze financial statements and communicate insight, patterns, and trends;
Knowledge of or have an ability to learn financial analysis, valuation, and modeling, including scenario analysis of critical assumptions;
Strong communication skills (written and verbal);
Ability to interact and build relationships with clients and across internal stakeholders;
Resourceful self-starter, able to work under pressure and manage time effectively;
Deadline-driven, with a sense of urgency;
Ability to work independently or amongst a team; and
Ability to multi-task on a variety of projects simultaneously.
Experience and Education:
Minimum of 1 year of full-time work experience.
Bachelor's degree in business administration, finance, economics, math, accounting, or equivalent.
Experience in similar roles in software, e-commerce, or technology M&A is preferred but not required; and
Working towards ACA/ACCA/CIMA/CFA or equivalent industry certifications preferred.
**Candidates must be authorized to work in the United States without sponsorship being required**
Job Type: Full-time
Schedule:
10 hour shift
Work Location: One location","Size
1 to 50 Employees
Founded
2010
Type
Company - Private
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$100 to $500 million (USD)",,
2,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,false,false,Bloomberg,30d+,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,4.1,1919 Ratings,80 %,87 %,Data Quality Analyst - Enterprise Data,"New York, NY","We""re Bloomberg Enterprise Data - fast paced, innovative and rapidly growing. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. Our endless selection of datasets, covering all asset types, with multiple delivery technologies and flexible scheduling mean our clients are able to get exactly the data they need, when they need it, in the format they prefer. Without us, they simply can""t operate. Firms that contribute to applying only highest-quality data can eliminate the data inconsistencies inherent to working with multiple vendors and lower their costs overall. A partnership with Bloomberg Enterprise Data allows just this, giving them strategic advantage.

What's the Role?

The business is looking for a Data Quality Analyst to join the Enterprise Data Quality Assurance team. The successful candidate will be responsible for creating and maintaining testing frameworks that automate test plans used to ensure that Enterprise Data products are of high quality before launch.

The Quality Assurance team works with Product/Business teams and Engineering to accomplish the following:
Creating testing strategies - Identify the test scope and objective with focus for launch of new enterprise data product or dataset
Presenting test results - Able to articulate and discuss data quality issue and remediation with multiple stakeholders
Driving continuous improvements of testing tools and processes - Open-minded to new insights/technologies on how to perform testing in more reliable and efficient way
Researching solutions to address client needs - Able to research/learn independently and provide possible solutions

We""ll trust you to:
Work closely with product managers, and engineering team to ensure the highest quality of products that we offer by implementing and performing dynamic data quality assurance procedures
Have strong attention to details and dedication to efficiently work problems to resolution
Apply judgment, and collaboration skills to interact positively and communicate appropriately with team members, management and other stakeholders
Be able to prioritize and ensure projects complete on time
Produce high quality documentation of test execution
Possess the ability to quickly learn new concepts

You""ll need to have:
A strong understanding of financial data
Experience with tools to handle large scale datasets and perform statistical analysis
Proficiency in one of the programming languages such as Python, R or SQL and familiar with distributed computing frameworks (e.g., Spark)
Highly motivated individual with excellent communication skills
Strong problem solving and troubleshooting skills
Meticulous with proven analytic skills
The ability to address multiple priorities in a very fast-paced environment

Apply if you think we're a good match, and we'll get in touch with you to let you know next steps.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","$105,679 /yr (est.)",$74K ,$152K
3,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,false,false,Guidehouse,1d,5001 to 10000 Employees,2018,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,3.7,288 Ratings,68 %,82 %,"Data Analyst- Consultant - Energy, Sustainability and Infrastructure,","New York, NY","Overview

Guidehouse is a leading global provider of consulting services to the public and commercial markets with broad capabilities in management, technology, and risk consulting. We help clients address their toughest challenges and navigate significant regulatory pressures with a focus on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that prepare our clients for future growth and success. The company has more than 10,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit: www.guidehouse.com.

Responsibilities

We seek a candidate to join our analytics team supporting Guidehouse’s Energy, Sustainability, and Infrastructure group. As a member of our team you will work with utilities and energy providers, investors and large corporations, NGOs, and the public sector to create sustainable, resilient communities and infrastructure. You will perform a wide range of analytics-related activities including forecast distributed energy resource market adoption at granular locational and temporal levels; develop models to identify market opportunities and evaluate energy efficiency, load management, renewables, EVs, and energy storage programs; advise clients regarding mobility-related strategy and operations, particularly for transportation electrification and new customer programs; develop models to inform decarbonization strategy and conduct resiliency-related analytics; inform grid modernization and enhance the operational performance of grid assets; develop load forecasting models used for resource and revenue planning and performing analytics to inform rate design; use analytics to inform client business strategy and identify process improvements.

Qualifications
Bachelor’s (or equivalent work experience) in Data Science, Economics, Statistics, Applied Mathematics, Computer Science, Operations Research, Environmental Engineering/Science, Computational Physics, or other analytics degree
Strong understanding of one or several programming languages, such as R (and R’s “Tidyverse” packages), Python, SQL, as well as analytics software/platforms such as Analytica and GIS
Outstanding problem-solving skills and critical thinking
Demonstrated proficiency with spreadsheets, databases, word processing, and slide presentation software
Excellent verbal and written communication skills; ability to simply convey complex concepts
Highly developed organizational and time-management skills
High degree of self-confidence and determination; ability to self-teach
Ability to work independently and as part of a team
Strong interest in electric mobility and decarbonization

Desired:

Academic background and/or practical experience in big data analysis, statistics, machine learning, System Dynamics, linear and nonlinear optimization, Monte Carlo analysis, risk analysis and decision theory, or consumer choice analysis
Experience in the energy industry, particularly electric mobility
Experience with web-based data viewers (PowerBI, Shiny R, and/or Spotfire)
Experience with version control, integration testing, unit testing, and regression testing

Additional Requirements

The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.

Due to our contractual requirements and federal orders, including an Executive Order from the White House and an emergency regulation from the Centers for Medicare & Medicaid Services (CMS), the position for which you are applying requires that you provide proof of your vaccination status. If you are unable to receive the COVID-19 vaccine for medical reasons or because of a sincerely held religious belief, you may request an exemption from the vaccination requirement which shall be reviewed after the submission of requested documentation. If an accommodation is granted, the conditions may include weekly testing and masking. All Guidehouse employees also agree to follow any additional health and safety mitigation policies that may be required in the workplace.


Disclaimer

About Guidehouse
Guidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.

Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.

If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.

Rewards and Benefits
Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

Benefits include:
Medical, Rx, Dental & Vision Insurance
Personal and Family Sick Time & Company Paid Holidays
Parental Leave and Adoption Assistance
401(k) Retirement Plan
Basic Life & Supplemental Life
Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts
Short-Term & Long-Term Disability
Tuition Reimbursement, Personal Development & Learning Opportunities
Skills Development & Certifications
Employee Referral Program
Corporate Sponsored Events & Community Outreach
Emergency Back-Up Childcare Program
Position may be eligible for a discretionary variable incentive","$98,670 /yr (est.)",$67K ,$146K
4,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,true,false,Youth Consultation Service (YCS),30d+,1001 to 5000 Employees,1918,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,$50 to $100 million (USD),3.6,15 Ratings,53 %,76 %,Data Analyst,"East Orange, NJ","Youth Consultation Service (YCS) is a mission driven organization which partners with at-risk individuals with special needs from birth to adulthood to build happier, healthier, more hopeful lives within their families and communities. Since 1918, YCS has brought life-changing success to New Jersey’s most vulnerable population who have been affected by trauma or intellectual or developmental disabilities. Today, YCS is recognized as one of New Jersey’s leading non-profit providers of comprehensive behavioral health and mental health services. Join our team and you can help thousands of people reach their full potential and lead fulfilling lives.
YCS is currently seeking an HRIS Coordinator. The HRIS Coordinator is responsible for performing HRIS and other HR related duties at a professional level working closely with senior HR management. This position carries out responsibilities in related HRIS and HR processes.
DUTIES AND RESPONSIBILITIES
Provides technical support, troubleshooting, and guidance to HR system users.
Confidentially maintains employee records.
Collaborates with operations and HR staff to identify system improvements and enhancements; recommends and implements solutions.
Compiles reports for HR and leadership.
Ensures system compliance with data security and privacy requirements.
Maintains knowledge of trends and developments in HRIS technology.
Strong focus on streamlining processes from paper to electronic.
Responsible for other HR process which may include assisting with compliance audits and processing HR transactions.
Additional responsibilities as directed by supervisor(s).
REQUIREMENTS
Bachelor's degree preferred.
1-3 years experience with HRIS and HR processes.
Experience with UltiPro, Kronos or a similar HRIS system desirable.
Strong Excel skills including use of pivot tables and creation of charts.
Detail oriented and well organized.
YCS is An Equal Opportunity/Affirmative Action Employer
Job Type: Full-time
Pay: $53,000.00 - $55,000.00 per year
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Education:
Bachelor's (Required)
Experience:
HRIS process: 1 year (Required)
HRIS Technical Support: 1 year (Required)
Strong Excel Skills: 1 year (Required)
Work Location: One location",,,
5,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,false,false,1199SEIU Family of Funds,30d+,1001 to 5000 Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),,3.5,30 Ratings,58 %,67 %,Data Analyst,"New York, NY","Responsibilities

Assist Associate Director in implementing critical software applications which include requirements gathering, testing, training, and implementation
Work with the business users to understand and develop procedures to support all the software applications in use
Conduct ongoing meetings with the business users in gathering future enhancements and implementing the changes across all software applications
Develop reports that will span all the software applications and provide a standard set of information that can be utilized in analysis, trustee reporting, and grant reporting
Serve as a Project Manager to ensure the goals and outcomes are met; work with Associate Director on procedures to preserve the data integrity of information that is entered in all software applications
Assist business units with recording outcomes in all software applications; work with Information Technology and Training and Employment Fund to develop a standard reporting tool to report accurate data for the trustees’ reports from all Funds using data from existing applications
Identify, analyze and improve existing business processes; implement improved processes and ensure procedures are followed to meet departmental goals
Provide ad-hoc reporting for information that is not reported by, or available in existing software using business intelligence tools such as Qlikview, Microsoft Access, Excel and SSRS
Develop, organize and conduct staff training, including regional staff on all software applications
Perform additional duties and projects as assigned by management

Qualifications

Bachelor’s Degree in Business Management, Computer Science or equivalent years of experience required
Minimum two (2) year job related experience; to include knowledge of project management methodology, Business analysis, database structures, SQL query generation or report writing
Strong interpersonal, written, presentation and project management skills required
Experience with using Salesforce preferred
Strong team player; proactive and able to follow up on multifaceted projects
Must be able to work flexible hours, including some evenings","$68,678 /yr (est.)",$52K ,$91K
6,2022-01-24,glassdoor,data analyst,1.0,Operations Analyst,true,false,Marathon Energy Corporation,13d,,,,,,,,,,,Operations Analyst,"Woodside, NY","About Marathon
Marathon is a rapidly growing energy supplier that provides a broad range of energy products and services to customers in
NY, NJ, PA and MD. Please visit our website for more information: https://mecny.com/
Marathon is an equal opportunity employer, and applicants considered will not be because of age, color, disability, gender, national origin, race, religion, sexual orientation, gender identity, protected veteran status, or any other classification protected by federal, state, or local law.
Job Summary
Marathon Energy is seeking a positive, goal-oriented Operations Analyst. The Operations Analsyt position has been structured to enable employee growth by providing exposure across all Operations functions, including enrollments, billing, sales support, collections and customer service. Attention to detail, ability to work in a fast-paced environment, organizational skills and ability to organize and analyze data are necessary skills to succeed within this role. Multi-tasking is a must! Company offers a competitive salary based on experience, benefits, and 401K plan.
Job Description:
Perform a variety of analytical functions including the review and management of large data sets to ensure customer billing accuracy and compliance with internal controls
Analyze customer contracts and execute accurate set up of billing rules within billing system(s)
Lead and assist with continuous process improvement projects related to billing controls, quality & efficiency, and automation opportunities
Research and resolve complex billing issues utilizing analytical and reporting tools as well as collaborating with cross functional peers
Ensure accurate and timely processing of all customer invoices
Review accounts receivable aging reports and contact customers (via phone, email, and letter) for payment
Work closely with Marathon sales agents for assistance with customer collections
Contact customers with Early Termination Fees regarding re-enrollment or for payment
Work with collection attorneys in each state we serve as needed
Report on collections activities to the Director, Credit and Collections and the Corporate Controller
Field incoming calls/customer inquiries from current customers and prospects
Record the call and distribute to the Managing Agent while assisting in resolving the ticket within outlined timeframes
Perform customer service responsibilities to maintain superior level of customer satisfaction
Make outbound calls to targeted groups to acquire new customers and retain existing ones
Assist the Sales team in gathering necessary data and reporting needed to facilitate sales to current and prospective customers
Assist the Sales team in quoting and contracting with current and prospective customers
Work in the Sales Support inbox and ensure responses are provided in a timely fashion
Assist in running and distributing various sales reporting
We are seeking candidates who meet the following criteria:
Bachelor’s degree
1-3 years work experience required
1-3 years experience with a retail energy company preferred
Proficiency in Microsoft Office and Excel required
Strong organization skills are required, with demonstrated ability to effectively handle multiple projects and tasks, and deliver work product on time
Eagerness to contribute in a team-oriented environment
Ability to work creatively and analytically in a problem-solving environment
Not afraid to ask questions and strong communication and interpersonal skills
Must be able to work remotely on a temporary basis
Must be able to commute to Woodside, NY or Syracuse, NY office
Must be fully vaccinated for COVID
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
Education:
Bachelor's (Preferred)
Experience:
Microsoft Office: 1 year (Required)
Work Location: Multiple Locations",,,
7,2022-01-24,glassdoor,data analyst,1.0,Data Analyst,true,false,Ursus,3d,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),4.2,18 Ratings,80 %,85 %,Data Analyst - Business Products,"New York, NY","Job Title: Data Analyst - Business Products
Location: New York, NY
Duration: 1 Year

Summary:
This candidate will be working on Business Products Engineering- Developing reporting tier 1- 2 Tableau with PSO operational reporting and insights for new products.

Job Responsibilities:
Test programs or databases, correct errors and make necessary modifications.
Modify existing databases and database management systems or direct programmers and analysts to make changes.
Write and code logical and physical database descriptions and specify identifiers of database to management system or direct others in coding descriptions.
Skills:
2-5 years experience in the following:
Tableau
Development skills
Data analysis skills - sequel
Problem solving skills
Education/Experience:
Associate's degree in computer programming or equivalent training required.

IND123","$88,412 /yr (est.)",$64K ,$121K
8,2022-01-24,glassdoor,data analyst,1.0,BI Analyst,true,false,Jellysmack,30d+,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,4.2,45 Ratings,82 %,89 %,BI Analyst / Data Analytics Engineer,"New York, NY","Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
The Team Culture
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?
The Role
The BI Analyst / Data Analytics Engineer will be part of a team of 10+ analysts and be in charge of modeling raw data into datasets that enable analytics across the company, making sure those datasets are updated, tested, and documented.
Working closely with Data Engineers and Data Analysts, and this person will be responsible for performing a range of duties that supports both of those roles.
The Responsibilities
Organizing and transforming the data in a meaningful way and providing additional context as necessary so that it is easily accessible and ready for analysis
Working closely with Data Engineers to build and schedule ETL or ELT pipelines in production and streamline processes
Collaborating with DBA to create and maintain complex databases
Writing production-quality ELT code with an eye for performance and sustainability
Collaborating on infrastructure projects and emphasizing the business value of applications
Developing and designing analytics projects as necessary
Training other members of the organization so that they’re capable of using various data tools and communicating with other members of the team
Jellysmack’s technical Stack
Languages : Python, SQL
Databases : Aurora, Redshift, ElasticSearch on AWS
Librairies : Pandas, numpy, SQLAlchemy,...
Visualisation tools : PowerBI, plotly
Environment : We use Pycharm / VSCode and Jupyter but we’re open to anything!
Requirements
A Little About You
You have a Master’s degree or Bachelor’s degree in Computer Science or related fields, with a minimum 2 years of experience in a similar role
You are an expert in SQL (MySQL) - query optimization is second nature, and you know how to write SQL that is easy to understand and troubleshoot and performs well
You have strong skills in SQL and Python, software engineering, data warehousing, data extraction, and data modeling
You are experienced in developing data pipelines and using version control systems
You have solid experience in time and task management
You possess good written and verbal communication skills, including the ability to effectively collaborate with multidisciplinary groups and all organizational levels.
You are luefluentncy in at least two of the following languages : English, Kosovar, French, Corsican, or Python. (We do have teams and analysts that can speak all of them!)
Benefits
The Location
Jellysmack believes in a flexible work environment in which anyone can work from anywhere. This is why we’ve implemented our flexible location philosophy, meaning you get the best of both worlds: you can choose to work from home and /or from our offices in Paris, New York, Los Angeles and Corti.
In order to make sure you get the best working environment, you will get a $300 / EUR 250 allowance to get set up!
The Perks
Early Summer release Fridays
Paid volunteering: 1 day dedicated to supporting a cause of your choice
Company sponsored wellness programs and events
Competitive Healthcare coverage
401K match
WeWork Global Access
The Difference
Our commitment to diversity and inclusion at Jellysmack, we believe that the best ideas come from the diverse cultures of our team members. Our commitment to inclusion across race, gender, age, religion, identity, and experience drives us forward every day. Creating a work culture that is safe and comfortable for our people to flourish is our main focus.
The Company
Jellysmack’s story started in 2016, and since then, our unrivaled platform optimizes and distributes video content across social media platforms and allows creators to reach genuine new fans with zero effort. We are the only company building the hyper-engaged communities that every creator dreams of because, first and foremost, we are creators too.
Creatives ourselves, we’re home to over 250 influential creators, including Derek Deso, Karina Garcia, Brad Mondo, MrBeast, Bailey Sarian, Patrick Starrr, and PewDiePie. Jellysmack optimizes, operates, and distributes creator-made video content to Facebook, Instagram, Snapchat, TikTok, Twitter, and YouTube. The company’s creator strategy builds upon its success in scaling its own original content channels in beauty (Beauty Studio), soccer (Oh My Goal), gaming (Gamology), and more.
Through the power of our data, we maximize reach and revenue so our creators stay focused on their passion—creating the best content for their global fan bases. We turn that passion into a brand and that brand into an empire.
Ready to be part of a great human adventure? We’re dedicated to making the best working environment possible for our people. All you have to do is apply; we are ready to let you show off your talent!","$95,264 /yr (est.)",$70K ,$129K
9,2022-01-24,glassdoor,data analyst,1.0,Analyst,false,false,NYU Langone Health,30d+,10000+ Employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),3.9,794 Ratings,76 %,84 %,EpicCare Analyst,"New York, NY","NYU Langone Health is a world-class, patient-centered, integrated academic medical center, known for its excellence in clinical care, research, and education. It comprises more than 200 locations throughout the New York area, including five inpatient locations, a children's hospital, three emergency rooms and a level 1 trauma center. Also part of NYU Langone Health is the Laura and Isaac Perlmutter Cancer Center, a National Cancer Institute designated comprehensive cancer center, and NYU Grossman School of Medicine, which since 1841 has trained thousands of physicians and scientists who have helped to shape the course of medical history. For more information, go to nyulangone.org, and interact with us on LinkedIn, Glassdoor, Indeed, Facebook, Twitter, YouTube and Instagram.
Position Summary:
We have an exciting opportunity to join our team as a EpicCare Analyst

In this role, the EpicCare Analyst is responsible for in-depth knowledge of assigned Epic System software. He/she conducts regular day-to-day communication, reviews the software, demonstrates a deeper understanding of business operations, and works with Epic, the Project Team(s), NYULMC Business Representatives/Subject Matter Experts, and end users to tailor the system to fit the organizations needs. The EpicCare Analyst routinely performs in-depth analysis of workflows, data collection, report details, and other technical issues associated with the use of Epic software; is responsible for developing and documenting the internal procedures that will be used in conjunction with Epic applications; and will design, build, test, install and maintain those solutions. The EpicCare Analyst is expected to use critical thinking skills in providing systems solutions to meet business needs.
Job Responsibilities:
Work with Application Managers/Directors/etc. and the entire Project Team, to collect, analyze and document business operations and workflow.
Participate in disaster recovery measures.
Actively participate and contribute in meetings, including supporting meeting facilitation.
Ensures all quality assurance processes are followed, including change management and testing efforts.
Provide assigned on-site support during go-lives and system upgrades.
Demonstrates an understanding of interface requirements and testing.
Analyze new functionality in new releases to identify impact.
Communicate effectively across all impacted teams associated with task assignments.
Support the training team by keeping trainers abreast of new functionality and system changes.
Analyze data conversion needs.
Ensure the test scripts have been created, reviewed, and updated to reflect proposed workflow solutions.
Make recommendations, review and test changes, enhancements, and each new release as assigned.
Troubleshoot problems and address questions from users, and provide on-call support on a rotating basis.
Collaborate effectively with colleagues and across teams to achieve the completion of tasks.
Collaborate effectively with Epic using Sherlock or other appropriate tools.
Complete all tasks in a timely manner with accurate documentation.
Minimum Qualifications:
To qualify you must have a Effective oral, written communication and follow-up skills. Strong interpersonal relationship skills. Strong desktop tool usage including Word, Excel, and PowerPoint. Self-motivated, detail-oriented , problem solver. Requires 1-3 years of relevant experience and BA/BS Degree or equivalent. Must maintain certification in at least 1 Epic application. Minimal implementation and/or support experience desired.
Preferred Qualifications:
Healthcare experience desirable but not required.
Qualified candidates must be able to effectively communicate with all levels of the organization.

NYU Langone Health provides its staff with far more than just a place to work. Rather, we are an institution you can be proud of, an institution where you'll feel good about devoting your time and your talents.

NYU Langone Health is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sex, sexual orientation, transgender status, gender dysphoria, national origin, age, religion, disability, military and veteran status, marital or parental status, citizenship status, genetic information or any other factor which cannot lawfully be used as a basis for an employment decision. We require applications to be completed online.
If you wish to view NYU Langone Health's EEO policies, please click here. Please click here to view the Federal ""EEO is the law"" poster or visit https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm for more information. To view the Pay Transparency Notice, please click here.","$71,871 /yr (est.)",$50K ,$103K
